day,away_team,road_trip_list,road_trip_distance,,,,,,,,,,,,,,,,game key,Portland,Sacramento,Oakland,LAC,LAL,Phoenix,Utah,Denver,OKC,Dallas,San Antonio,Houston,New Orleans,Memphis,Minneapolis,Boston,Toronto,New York,Philedelphia,Brooklyn,Cleveland,Milwakee,Chicago,Indianapolis,Detroit,Washington,Atlanta,Miami,Charlotte,Orlando,,,"key, new may 15 2021",Portland,Sacramento,Oakland,LAC,LAL,Phoenix,Utah,Denver,OKC,Dallas,San Antonio,Houston,New Orleans,Memphis,Minneapolis,Boston,Toronto,New York,Philedelphia,Brooklyn,Cleveland,Milwakee,Chicago,Indianapolis,Detroit,Washington,Atlanta,Miami,Charlotte,Orlando
1,Detroit,"['Detroit@Dallas', 'Detroit@San Antonio', 'Detroit@Houston', 'Detroit@New Orleans', 'Detroit@Memphis', 'Detroit@Minneapolis', 'Detroit@Portland', 'Detroit@Sacramento', 'Detroit@Oakland', 'Detroit@LAC', 'Detroit@LAL', 'Detroit@Phoenix', 'Detroit@Utah', 'Detroit@Denver', 'Detroit@OKC']",7790.81,"[1000.38, 252.72, 189.32, 318.09, 359.58, 700.66, 1424.7, 483.96, 68.36, 343.79, 0.0, 357.23, 505.9, 371.0, 504.73, 910.39]",,,,,,,,,,,,,,,Dallas,Dallas@Portland,Dallas@Sacramento,Dallas@Oakland,Dallas@LAC,Dallas@LAL,Dallas@Phoenix,Dallas@Utah,Dallas@Denver,Dallas@OKC,Dallas@Dallas,Dallas@San Antonio,Dallas@Houston,Dallas@New Orleans,Dallas@Memphis,Dallas@Minneapolis,Dallas@Boston,Dallas@Toronto,Dallas@New York,Dallas@Philedelphia,Dallas@Brooklyn,Dallas@Cleveland,Dallas@Milwakee,Dallas@Chicago,Dallas@Indianapolis,Dallas@Detroit,Dallas@Washington,Dallas@Atlanta,Dallas@Miami,Dallas@Charlotte,Dallas@Orlando,,,Dallas,2,1,2,2,2,2,2,2,2,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Washington,"['Washington@San Antonio', 'Washington@Houston', 'Washington@New Orleans', 'Washington@Memphis', 'Washington@Minneapolis', 'Washington@Portland', 'Washington@Sacramento', 'Washington@Oakland', 'Washington@LAC', 'Washington@LAL', 'Washington@Phoenix', 'Washington@Utah', 'Washington@Denver', 'Washington@OKC', 'Washington@Dallas']",8388.55,"[1387.27, 189.32, 318.09, 359.58, 700.66, 1424.7, 483.96, 68.36, 343.79, 0.0, 357.23, 505.9, 371.0, 504.73, 190.63, 1183.33]",,,,,,,,,,,,,,,San Antonio,San Antonio@Portland,San Antonio@Sacramento,San Antonio@Oakland,San Antonio@LAC,San Antonio@LAL,San Antonio@Phoenix,San Antonio@Utah,San Antonio@Denver,San Antonio@OKC,San Antonio@Dallas,San Antonio@San Antonio,San Antonio@Houston,San Antonio@New Orleans,San Antonio@Memphis,San Antonio@Minneapolis,San Antonio@Boston,San Antonio@Toronto,San Antonio@New York,San Antonio@Philedelphia,San Antonio@Brooklyn,San Antonio@Cleveland,San Antonio@Milwakee,San Antonio@Chicago,San Antonio@Indianapolis,San Antonio@Detroit,San Antonio@Washington,San Antonio@Atlanta,San Antonio@Miami,San Antonio@Charlotte,San Antonio@Orlando,,,San Antonio,2,2,1,2,2,2,2,2,1,2,,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Atlanta,"['Atlanta@Houston', 'Atlanta@New Orleans', 'Atlanta@Memphis', 'Atlanta@Minneapolis', 'Atlanta@Portland', 'Atlanta@Sacramento', 'Atlanta@Oakland', 'Atlanta@LAC', 'Atlanta@LAL', 'Atlanta@Phoenix', 'Atlanta@Utah', 'Atlanta@Denver', 'Atlanta@OKC', 'Atlanta@Dallas', 'Atlanta@San Antonio']",7465.62,"[701.86, 318.09, 359.58, 700.66, 1424.7, 483.96, 68.36, 343.79, 0.0, 357.23, 505.9, 371.0, 504.73, 190.63, 252.72, 882.41]",,,,,,,,,,,,,,,Houston,Houston@Portland,Houston@Sacramento,Houston@Oakland,Houston@LAC,Houston@LAL,Houston@Phoenix,Houston@Utah,Houston@Denver,Houston@OKC,Houston@Dallas,Houston@San Antonio,Houston@Houston,Houston@New Orleans,Houston@Memphis,Houston@Minneapolis,Houston@Boston,Houston@Toronto,Houston@New York,Houston@Philedelphia,Houston@Brooklyn,Houston@Cleveland,Houston@Milwakee,Houston@Chicago,Houston@Indianapolis,Houston@Detroit,Houston@Washington,Houston@Atlanta,Houston@Miami,Houston@Charlotte,Houston@Orlando,,,Houston,1,2,2,2,2,1,2,2,2,2,2,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Miami,"['Miami@New Orleans', 'Miami@Memphis', 'Miami@Minneapolis', 'Miami@Portland', 'Miami@Sacramento', 'Miami@Oakland', 'Miami@LAC', 'Miami@LAL', 'Miami@Phoenix', 'Miami@Utah', 'Miami@Denver', 'Miami@OKC', 'Miami@Dallas', 'Miami@San Antonio', 'Miami@Houston']",7390.74,"[669.73, 359.58, 700.66, 1424.7, 483.96, 68.36, 343.79, 0.0, 357.23, 505.9, 371.0, 504.73, 190.63, 252.72, 189.32, 968.43]",,,,,,,,,,,,,,,New Orleans,New Orleans@Portland,New Orleans@Sacramento,New Orleans@Oakland,New Orleans@LAC,New Orleans@LAL,New Orleans@Phoenix,New Orleans@Utah,New Orleans@Denver,New Orleans@OKC,New Orleans@Dallas,New Orleans@San Antonio,New Orleans@Houston,New Orleans@New Orleans,New Orleans@Memphis,New Orleans@Minneapolis,New Orleans@Boston,New Orleans@Toronto,New Orleans@New York,New Orleans@Philedelphia,New Orleans@Brooklyn,New Orleans@Cleveland,New Orleans@Milwakee,New Orleans@Chicago,New Orleans@Indianapolis,New Orleans@Detroit,New Orleans@Washington,New Orleans@Atlanta,New Orleans@Miami,New Orleans@Charlotte,New Orleans@Orlando,,,New Orleans,2,2,2,1,2,2,1,2,2,2,2,2,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Charlotte,"['Charlotte@Memphis', 'Charlotte@Minneapolis', 'Charlotte@Portland', 'Charlotte@Sacramento', 'Charlotte@Oakland', 'Charlotte@LAC', 'Charlotte@LAL', 'Charlotte@Phoenix', 'Charlotte@Utah', 'Charlotte@Denver', 'Charlotte@OKC', 'Charlotte@Dallas', 'Charlotte@San Antonio', 'Charlotte@Houston', 'Charlotte@New Orleans']",6880.81,"[520.25, 700.66, 1424.7, 483.96, 68.36, 343.79, 0.0, 357.23, 505.9, 371.0, 504.73, 190.63, 252.72, 189.32, 318.09, 649.47]",,,,,,,,,,,,,,,Memphis,Memphis@Portland,Memphis@Sacramento,Memphis@Oakland,Memphis@LAC,Memphis@LAL,Memphis@Phoenix,Memphis@Utah,Memphis@Denver,Memphis@OKC,Memphis@Dallas,Memphis@San Antonio,Memphis@Houston,Memphis@New Orleans,Memphis@Memphis,Memphis@Minneapolis,Memphis@Boston,Memphis@Toronto,Memphis@New York,Memphis@Philedelphia,Memphis@Brooklyn,Memphis@Cleveland,Memphis@Milwakee,Memphis@Chicago,Memphis@Indianapolis,Memphis@Detroit,Memphis@Washington,Memphis@Atlanta,Memphis@Miami,Memphis@Charlotte,Memphis@Orlando,,,Memphis,2,2,2,2,1,2,2,1,2,2,2,2,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Orlando,"['Orlando@Minneapolis', 'Orlando@Portland', 'Orlando@Sacramento', 'Orlando@Oakland', 'Orlando@LAC', 'Orlando@LAL', 'Orlando@Phoenix', 'Orlando@Utah', 'Orlando@Denver', 'Orlando@OKC', 'Orlando@Dallas', 'Orlando@San Antonio', 'Orlando@Houston', 'Orlando@New Orleans', 'Orlando@Memphis']",7364.89,"[1310.86, 1424.7, 483.96, 68.36, 343.79, 0.0, 357.23, 505.9, 371.0, 504.73, 190.63, 252.72, 189.32, 318.09, 359.58, 684.02]",,,,,,,,,,,,,,,Minneapolis,Minneapolis@Portland,Minneapolis@Sacramento,Minneapolis@Oakland,Minneapolis@LAC,Minneapolis@LAL,Minneapolis@Phoenix,Minneapolis@Utah,Minneapolis@Denver,Minneapolis@OKC,Minneapolis@Dallas,Minneapolis@San Antonio,Minneapolis@Houston,Minneapolis@New Orleans,Minneapolis@Memphis,Minneapolis@Minneapolis,Minneapolis@Boston,Minneapolis@Toronto,Minneapolis@New York,Minneapolis@Philedelphia,Minneapolis@Brooklyn,Minneapolis@Cleveland,Minneapolis@Milwakee,Minneapolis@Chicago,Minneapolis@Indianapolis,Minneapolis@Detroit,Minneapolis@Washington,Minneapolis@Atlanta,Minneapolis@Miami,Minneapolis@Charlotte,Minneapolis@Orlando,,,Minneapolis,2,2,2,1,2,2,2,2,2,2,2,1,2,2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,Portland,"['Portland@Boston', 'Portland@Toronto', 'Portland@New York', 'Portland@Philedelphia', 'Portland@Brooklyn', 'Portland@Cleveland', 'Portland@Milwakee', 'Portland@Chicago', 'Portland@Indianapolis', 'Portland@Detroit', 'Portland@Washington', 'Portland@Atlanta', 'Portland@Miami', 'Portland@Charlotte', 'Portland@Orlando']",9888.26,"[2535.63, 430.26, 342.42, 80.63, 80.63, 404.26, 335.23, 81.52, 165.01, 240.36, 394.34, 542.9, 607.07, 655.87, 463.73, 2528.4]",,,,,,,,,,,,,,,Boston,Boston@Portland,Boston@Sacramento,Boston@Oakland,Boston@LAC,Boston@LAL,Boston@Phoenix,Boston@Utah,Boston@Denver,Boston@OKC,Boston@Dallas,Boston@San Antonio,Boston@Houston,Boston@New Orleans,Boston@Memphis,Boston@Minneapolis,Boston@Boston,Boston@Toronto,Boston@New York,Boston@Philedelphia,Boston@Brooklyn,Boston@Cleveland,Boston@Milwakee,Boston@Chicago,Boston@Indianapolis,Boston@Detroit,Boston@Washington,Boston@Atlanta,Boston@Miami,Boston@Charlotte,Boston@Orlando,,,Boston,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,2,2,2,2,1,2,2,2,2,2,2,2,1
31,Sacramento,"['Sacramento@Toronto', 'Sacramento@New York', 'Sacramento@Philedelphia', 'Sacramento@Brooklyn', 'Sacramento@Cleveland', 'Sacramento@Milwakee', 'Sacramento@Chicago', 'Sacramento@Indianapolis', 'Sacramento@Detroit', 'Sacramento@Washington', 'Sacramento@Atlanta', 'Sacramento@Miami', 'Sacramento@Charlotte', 'Sacramento@Orlando', 'Sacramento@Boston']",10337.11,"[2198.28, 342.42, 80.63, 80.63, 404.26, 335.23, 81.52, 165.01, 240.36, 394.34, 542.9, 607.07, 655.87, 463.73, 1117.04, 2627.82]",,,,,,,,,,,,,,,Toronto,Toronto@Portland,Toronto@Sacramento,Toronto@Oakland,Toronto@LAC,Toronto@LAL,Toronto@Phoenix,Toronto@Utah,Toronto@Denver,Toronto@OKC,Toronto@Dallas,Toronto@San Antonio,Toronto@Houston,Toronto@New Orleans,Toronto@Memphis,Toronto@Minneapolis,Toronto@Boston,Toronto@Toronto,Toronto@New York,Toronto@Philedelphia,Toronto@Brooklyn,Toronto@Cleveland,Toronto@Milwakee,Toronto@Chicago,Toronto@Indianapolis,Toronto@Detroit,Toronto@Washington,Toronto@Atlanta,Toronto@Miami,Toronto@Charlotte,Toronto@Orlando,,,Toronto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,2,2,2,2,2,2,1,2,2,2,2,1,2
31,Oakland,"['Oakland@New York', 'Oakland@Philedelphia', 'Oakland@Brooklyn', 'Oakland@Cleveland', 'Oakland@Milwakee', 'Oakland@Chicago', 'Oakland@Indianapolis', 'Oakland@Detroit', 'Oakland@Washington', 'Oakland@Atlanta', 'Oakland@Miami', 'Oakland@Charlotte', 'Oakland@Orlando', 'Oakland@Boston', 'Oakland@Toronto', 'Oakland@Memphis', 'Oakland@LAC']",10922.44,"[2560.26, 80.63, 80.63, 404.26, 335.23, 81.52, 165.01, 240.36, 394.34, 542.9, 607.07, 655.87, 463.73, 1117.04, 430.26, 817.8, 1601.74, 343.79]",,,,,,,,,,,,,,,New York,New York@Portland,New York@Sacramento,New York@Oakland,New York@LAC,New York@LAL,New York@Phoenix,New York@Utah,New York@Denver,New York@OKC,New York@Dallas,New York@San Antonio,New York@Houston,New York@New Orleans,New York@Memphis,New York@Minneapolis,New York@Boston,New York@Toronto,New York@New York,New York@Philedelphia,New York@Brooklyn,New York@Cleveland,New York@Milwakee,New York@Chicago,New York@Indianapolis,New York@Detroit,New York@Washington,New York@Atlanta,New York@Miami,New York@Charlotte,New York@Orlando,,,New York,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,,2,2,2,2,1,2,2,2,2,1,2,2
31,LAC,"['LAC@Philedelphia', 'LAC@Brooklyn', 'LAC@Cleveland', 'LAC@Milwakee', 'LAC@Chicago', 'LAC@Indianapolis', 'LAC@Detroit', 'LAC@Washington', 'LAC@Atlanta', 'LAC@Miami', 'LAC@Charlotte', 'LAC@Orlando', 'LAC@Boston', 'LAC@Toronto', 'LAC@New York', 'LAC@Phoenix']",10750.97,"[2390.88, 80.63, 404.26, 335.23, 81.52, 165.01, 240.36, 394.34, 542.9, 607.07, 655.87, 463.73, 1117.04, 430.26, 342.42, 2142.22, 357.23]",,,,,,,,,,,,,,,Philedelphia,Philedelphia@Portland,Philedelphia@Sacramento,Philedelphia@Oakland,Philedelphia@LAC,Philedelphia@LAL,Philedelphia@Phoenix,Philedelphia@Utah,Philedelphia@Denver,Philedelphia@OKC,Philedelphia@Dallas,Philedelphia@San Antonio,Philedelphia@Houston,Philedelphia@New Orleans,Philedelphia@Memphis,Philedelphia@Minneapolis,Philedelphia@Boston,Philedelphia@Toronto,Philedelphia@New York,Philedelphia@Philedelphia,Philedelphia@Brooklyn,Philedelphia@Cleveland,Philedelphia@Milwakee,Philedelphia@Chicago,Philedelphia@Indianapolis,Philedelphia@Detroit,Philedelphia@Washington,Philedelphia@Atlanta,Philedelphia@Miami,Philedelphia@Charlotte,Philedelphia@Orlando,,,Philedelphia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,2,1,2,2,2,2,1,2,2,2,2
